Unnamed: 0,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,cell,cell_ontology_class
A4.MAA000385.3_10_M.1.1,11.0809392417469,2.09017259051239,0.0580536359994447,1.97549703623638,-0.0463475836211168,-0.376080996858648,7.27744624121504,0.29746646992412,0.0526285889234463,1.30387502909291,0.48767009289442,A4.MAA000385.3_10_M.1.1,mesenchymal stem cell of adipose
H7.MAA000385.3_10_M.1.1,9.72785397770774,2.20138615871514,-0.237582485080332,2.77973899499875,-1.37571711114952,-0.326471852655076,7.5220838797876,2.16675086786463,0.950001491191176,-0.686338445768043,1.74533156273922,H7.MAA000385.3_10_M.1.1,mesenchymal stem cell of adipose
B4.MAA000385.3_10_M.1.1,11.6893396110125,2.90172136812542,-0.27233820517051,-0.782883122680779,0.535056155267048,-0.404445404935507,7.20287370294884,0.535640004955501,1.46408228875792,1.82825007249691,-0.433032594837523,B4.MAA000385.3_10_M.1.1,mesenchymal stem cell of adipose
A14.MAA000386.3_11_M.1.1,9.6118684742341,2.33006979513414,0.768660571393006,5.34769021873344,-0.814757409265397,-0.903336625889961,7.32881024044809,-1.70788625518013,1.9598129846751,2.10313387099099,1.62714841105642,A14.MAA000386.3_11_M.1.1,mesenchymal stem cell of adipose
A10.MAA000386.3_11_M.1.1,8.54519913744452,1.85183811878194,1.75078005069567,10.5074431330053,-0.847984744282441,0.68644997567619,-3.29302947738802,-2.45469072169765,0.0448103738543042,0.981140342948791,-0.0530512851313516,A10.MAA000386.3_11_M.1.1,mesenchymal stem cell of adipose
A11.MAA000386.3_11_M.1.1,10.9372377344488,2.5202832008635,0.705222708941559,6.17970713802289,-0.367896942132674,-0.931187646193239,3.80275999574253,-1.35156857494369,1.68950334684352,1.86321178758232,1.50379972540466,A11.MAA000386.3_11_M.1.1,mesenchymal stem cell of adipose
D12.MAA000386.3_11_M.1.1,11.2056469762778,3.1397721331245,0.436500204436264,6.03154272761433,-1.00926930063904,-0.680461849855398,7.49094402565578,-1.04023857255083,0.473920986635459,1.01818564994949,0.866554754717173,D12.MAA000386.3_11_M.1.1,mesenchymal stem cell of adipose
J13.MAA000386.3_11_M.1.1,11.937305146426,2.66402472075738,0.121758675471417,5.44642665991672,-0.967974518054019,-0.577064918413018,8.61230426700293,-1.21527282573151,2.41419911625743,2.88363943941887,2.58452554173599,J13.MAA000386.3_11_M.1.1,mesenchymal stem cell of adipose
C10.MAA000386.3_11_M.1.1,12.1633290273319,3.1164894123404,0.318228155004631,3.99579283934905,-0.336739036719594,0.120828001114831,-1.03409317908722,-6.08923795145173,3.40881160896288,3.78664697937345,-0.218199138007546,C10.MAA000386.3_11_M.1.1,mesenchymal stem cell of adipose
D14.MAA000386.3_11_M.1.1,12.0049730834925,2.60252460718083,-0.326213588969326,1.49208182944902,0.0680383994042622,0.601519468607654,4.79373077849371,-1.68592320327389,2.60076836492896,3.03759081255327,0.96996626341801,D14.MAA000386.3_11_M.1.1,mesenchymal stem cell of adipose
J14.MAA000386.3_11_M.1.1,11.9362733947051,2.74041846928426,-0.224496139988553,-2.29253899468419,-0.0051440739657093,-0.162965476099533,-3.48672110272991,-3.41728033567581,1.55239355126495,1.22783146274397,0.546631051110571,J14.MAA000386.3_11_M.1.1,mesenchymal stem cell of adipose
J15.MAA000386.3_11_M.1.1,11.4069530925089,4.50002274065978,0.936929895907668,8.47566253075045,-0.732600807234515,-0.359774322550285,0.160996108201181,-6.90719872741579,2.82908038454367,4.50432704901936,0.0112522145992127,J15.MAA000386.3_11_M.1.1,mesenchymal stem cell of adipose
I9.MAA000386.3_11_M.1.1,12.2088332123102,2.35990101249464,-0.444676549667072,3.75079751131652,-0.0684832455492052,-0.426560501577746,9.27461879462256,0.0852277757704974,2.85518170316155,2.70659502441753,1.90692467051116,I9.MAA000386.3_11_M.1.1,mesenchymal stem cell of adipose
J16.MAA000386.3_11_M.1.1,11.0110917698903,2.75720877416306,0.609302108669609,4.970574269317,-1.08804825836526,0.232542398876896,6.41235579477076,-3.52806637600642,2.37282169222756,3.49940798742964,-0.187086309303701,J16.MAA000386.3_11_M.1.1,mesenchymal stem cell of adipose
M14.MAA000386.3_11_M.1.1,0.418108230575445,25.3414713729433,6.71933871419081,7.84267573221964,0.883526012896805,-0.631678802631945,-1.85441795176573,-2.40102815676385,2.0563261652571,3.85365367375828,0.502597418220277,M14.MAA000386.3_11_M.1.1,mesenchymal stem cell of adipose
C13.MAA000386.3_11_M.1.1,10.3955421247476,2.49928467059299,-0.118636379549065,4.06876836961932,-0.954574947960105,-0.703941934828986,10.3354411878585,1.40555516646209,0.953461068388827,1.1731574512243,1.21362243374308,C13.MAA000386.3_11_M.1.1,mesenchymal stem cell of adipose
F9.MAA000386.3_11_M.1.1,11.8709983089864,4.03701895939739,0.703672299877599,9.18278286123216,-0.752380133952871,-0.605373710135372,-0.754313937821816,-6.46299949880837,2.74215087271362,3.95425348325315,0.683381434197377,F9.MAA000386.3_11_M.1.1,mesenchymal stem cell of adipose
C14.MAA000386.3_11_M.1.1,10.8498323398994,2.18674313591389,0.0453023341952881,5.28918360823955,-0.659485978057551,-0.16462096921952,5.67783756240838,-0.680105659322373,1.33091601412918,1.16572871201714,1.65432035156922,C14.MAA000386.3_11_M.1.1,mesenchymal stem cell of adipose
I11.MAA000386.3_11_M.1.1,12.3456253185797,2.84660537934425,0.548097069735226,4.16104536530015,-0.0921534360605207,-0.888344699198433,5.8698910803883,-0.448684673574586,1.40309884525128,2.97728483513919,1.47439320625892,I11.MAA000386.3_11_M.1.1,mesenchymal stem cell of adipose
L10.MAA000386.3_11_M.1.1,12.4669173487612,2.74695425320241,-0.139720311177849,-0.381500233630029,-0.0361378613410528,-0.517360738912365,0.84951962473556,-3.91310540148533,4.52774277308005,3.61471549115828,0.0384808010948845,L10.MAA000386.3_11_M.1.1,mesenchymal stem cell of adipose
L11.MAA000386.3_11_M.1.1,11.0269564022134,2.45600842756018,1.06861562348093,10.818305713617,-0.883374861219471,-0.464030590313836,-3.29496806264242,-4.08171421829187,2.9372374181546,2.58938610531467,0.692832564504563,L11.MAA000386.3_11_M.1.1,mesenchymal stem cell of adipose
