Unnamed: 0,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17,PC_18,PC_19,PC_20,PC_21,PC_22,PC_23,PC_24,PC_25,PC_26,PC_27,PC_28,PC_29,PC_30,PC_31,cell,cell_ontology_class
A13.D041914.3_8_M.1.1,-6.93708491137969,1.35571091510273,0.648025550784182,1.03691175419117,0.0679841096576634,2.26256732876385,-9.29730863259073,3.90455143546249,0.599592530145445,0.273517316606053,0.0210236558894501,-1.83045913202355,1.29494472102327,1.73268186554348,-0.483822379965292,2.06687661112025,-0.3066983464617,-1.40162322598547,-1.52148566609903,0.593622036400399,0.113648945831292,0.346353695466895,-0.372314255987498,0.950509063113805,0.0277967599334426,-0.448137891413651,-0.627367315901971,-0.38403610021019,-0.639334155487917,-0.763700381676472,0.476862059051348,A13.D041914.3_8_M.1.1,mesenchymal cell
E4.D041914.3_8_M.1.1,-8.5090540853935,3.03798532708375,1.97091196933621,7.56168628266953,-0.233454165701246,0.339835247304337,-0.233196819962259,-1.1080968130658,0.290186670571037,0.232614368547153,1.4267874899392,-2.54265879445947,1.38490879200679,0.140032208923844,1.81880610271125,-2.36379420010712,0.612113392243944,-2.17233046627149,-0.13190077910486,1.61497408517662,-0.592137364478613,0.113728300133333,-0.267656951589202,-0.43534208388111,0.0650381456089739,-0.208769044991015,-0.636565060949909,-0.476547003817496,0.533867225109956,0.48678023323429,-1.31667451324328,E4.D041914.3_8_M.1.1,mesenchymal cell
E5.D041914.3_8_M.1.1,-7.7926074833646,2.01376179751889,0.614671483468691,1.51256770846161,0.219715570641704,0.429129961000339,-7.24370391477006,4.47413593151807,0.229207869688136,0.047696694484244,0.703358789460827,-1.26376674133614,1.88188485254321,1.48891258708076,1.14491858144805,0.496475942184025,-0.147675662493605,-0.903417287632231,-0.429255074102774,0.111581957874233,0.395583417133115,0.11096366828158,0.114261726585164,0.533632166354524,0.521158089993187,-0.284107838340162,0.15162013501043,-1.04305116818494,-0.631986631025638,-0.125654121407985,0.840646260474565,E5.D041914.3_8_M.1.1,mesenchymal cell
D2.D041914.3_8_M.1.1,-8.0365142011052,2.38072663537061,0.715941420338047,13.234628404548,0.339981312808393,-1.37136125860481,5.19566847670566,-3.15976984728634,0.602409606870858,-0.472241282693189,0.144154444190346,-0.886647113453705,1.30104552097934,1.88026171020266,-0.678489251706596,2.61823585070589,-1.63599737955606,-1.38087024874592,-1.71977363531157,1.80928346127065,0.268737493004978,-0.438815399714248,-0.254247675754221,-0.764433492316925,-0.978862113821169,-1.58034909875077,0.67375281616155,0.183456116345061,0.117256206594301,-0.85701485986539,0.663444155098468,D2.D041914.3_8_M.1.1,mesenchymal cell
E6.D041914.3_8_M.1.1,-8.01494432096952,1.90864170591559,0.855278847331464,9.73852875460292,-0.308949019504259,-1.3962773501945,1.56152696632269,0.412657799306211,0.356497903766398,-0.426068210557574,0.416847395111571,-1.27110993971502,1.48308058666956,1.8179464041469,0.500683574064932,2.4852212297003,-1.10239019396312,-1.53019567635074,-1.6257010806025,1.63906650299745,-0.61729796573468,0.0744683100532142,-0.324482950947013,-0.0688957081063182,-0.355366103673136,-0.100929059358322,0.181962049660346,0.13442102773811,-0.626418913955502,-1.21669886856201,0.439977163724163,E6.D041914.3_8_M.1.1,mesenchymal cell
C1.D041914.3_8_M.1.1,-8.37789009461775,1.89262781642429,0.859318260606524,6.48470006850264,0.0866439832714424,-0.224486489188216,-3.05360669738348,1.63852041202186,0.408947001554393,0.38357099857657,1.18149806873331,-0.777853684456849,0.814980162113635,-0.0152236531692866,1.35518709655836,-0.776881261224108,-1.18098773241565,-1.1709256510421,-0.518765831330241,0.86753790918425,0.822853920836544,0.294303065189053,-0.220461128741442,-1.15235987380482,-0.464386650359038,0.0631629676876678,-0.0110151308491106,0.434915088192991,-0.666285347159823,0.406878618517154,-0.15481098738039,C1.D041914.3_8_M.1.1,mesenchymal cell
D3.D041914.3_8_M.1.1,-8.02477602528637,2.55304021216042,0.489873673533806,8.83608833334265,0.249936033636891,-0.939795492850037,3.07844816030053,-2.21246463005504,0.330132174729872,0.288549175566637,1.10163257859942,-1.24624807092772,1.30783063809282,0.0127138411647414,2.81568926946775,-1.4064030391353,0.58010517213381,-0.66053270813386,-0.713600009078796,0.758141449792607,-0.225486205467102,0.382508756996176,-0.298690712030135,-0.912161633019007,-0.452917064481901,-1.59535575103179,-1.79205544127242,-0.798544450243045,-1.39193587901304,-0.710262456503591,0.976915609951314,D3.D041914.3_8_M.1.1,mesenchymal cell
C2.D041914.3_8_M.1.1,-8.84943340138948,2.14032787737856,2.6068106408956,14.4920132572637,0.452001341417892,-1.03577737969369,6.77763248776231,-3.51256981843207,0.211984798491593,-0.199254981798331,-0.403342436527184,-0.483639939620792,1.77070626210487,1.90033430473205,-0.59811779062856,1.63423601712279,0.113576419506017,-0.336999225804413,-1.89610122228798,0.565001408394693,-0.400692829234161,-0.602524147795914,-1.33486881301493,1.84601518906962,-0.252057080249136,-0.730336328973405,0.180293619098493,-0.102516072580867,-0.579317066461226,0.283454419567589,0.536598322240513,C2.D041914.3_8_M.1.1,mesenchymal cell
E9.D041914.3_8_M.1.1,-7.94612480025752,1.55887844384268,0.92831971507397,2.03112557044401,-0.31151731494945,1.08874615821398,-8.79071822476526,2.71710516665402,0.514493622187939,-0.539236820983206,1.58355502939524,-1.4428438706235,-0.0858479650969518,0.860746055125302,1.01591355454214,-0.634571879700704,-1.59332465604285,-1.81174922937227,-1.25835937927372,-0.251766336163028,-0.0568151453606376,0.347701910399965,-0.671747792527089,-0.0802746227354396,0.348225953783662,-0.885510801164701,0.0021768162871363,0.519870968602286,-1.52614212184796,0.0520732461400271,0.356508570403582,E9.D041914.3_8_M.1.1,mesenchymal cell
B3.D041914.3_8_M.1.1,-8.35735356539857,2.24747324418106,0.479954946600772,8.23773461012481,0.512510060227072,-0.597447766696086,0.483160096958469,0.553219468268362,0.26906872746737,-0.873348680078059,0.783090518494275,-0.742215751864242,0.200413594901779,-0.634432217014486,3.3633707815261,-0.884231792389926,-0.420115186266527,-0.541225737625821,-1.23890233298718,0.0200465356686582,-0.148464979989885,0.641372472708537,0.245407689970613,-0.266401798963074,-0.080906113284365,1.10218760821201,-0.595124436263959,-0.675088691250065,-1.20532706684987,0.0356812199867713,1.11200046743666,B3.D041914.3_8_M.1.1,mesenchymal cell
